Company Name,Model Name,Sub-Model Name,Engine CC,Bike Category,Top Sales State,Performance Rating,Ex-Showroom Price,On-Road Price,Profit,Manufacturing Year,KMPL,Weight,Cylinder Variant,Available Colors in Numbers,What are the Colors,Bike Versions,Clutch Type,Fuel System
Hero,Pleasure+,Pleasure+ ABS,110.9,Scooter,Maharashtra,6.0,194756,214674,35891,2016,55,207,4,4,"Black, White, Blue, Green",Standard,Wet,Fuel Injection
Hero,Xpulse 200,Xpulse 200 4V,199.6,Motorcycle,Andhra Pradesh,8.6,157759,166473,13137,2021,43,211,2,2,"Red, Black",Disc,Automatic,Fuel Injection
Hero,Maestro Edge 110,Maestro Edge 110 Standard,110.9,Scooter,Uttarakhand,6.2,170337,183292,47680,2023,64,128,2,2,"Black, Blue",Drum,Multi-plate,Carburetor
Hero,Xpulse 200,Xpulse 200 4V,199.6,Motorcycle,Gujarat,8.1,101979,119874,34632,2018,52,196,1,4,"Blue, Red, Green, White",Disc,Multi-plate,Carburetor
Hero,Maestro Edge 110,Maestro Edge 110 ABS,110.9,Scooter,Gujarat,8.3,93554,111003,19912,2024,39,93,1,5,"Black, Blue, Red, Green, White",ABS,Multi-plate,Carburetor
Hero,Pleasure+,Pleasure+ 4V,110.9,Scooter,Haryana,8.3,52201,57556,20094,2016,57,216,2,3,"Blue, Green, Red",Standard,Wet,Fuel Injection
Hero,Pleasure+,Pleasure+ Pro,110.9,Scooter,Meghalaya,5.4,166650,184309,48572,2020,35,90,1,2,"White, Blue",Standard,Automatic,Carburetor
Hero,Pleasure+,Pleasure+ Pro,110.9,Scooter,Telangana,9.3,60167,75229,12051,2017,52,90,4,4,"Blue, White, Green, Black",Disc,Wet,Carburetor
Hero,Destini 125,Destini 125 Standard,124.6,Scooter,Goa,9.6,132048,145030,13509,2022,69,217,2,5,"Black, Red, White, Blue, Green",ABS,Dry,Fuel Injection
Hero,Destini 125,Destini 125 Standard,124.6,Scooter,Nagaland,5.7,141784,146799,43071,2015,67,105,2,5,"Blue, Red, White, Black, Green",Disc,Dry,Carburetor
Hero,Glamour,Glamour 4V,124.7,Motorcycle,Kerala,5.9,201350,211213,40521,2020,74,220,2,4,"Blue, White, Green, Red",Standard,Automatic,Carburetor
Hero,Karizma ZMR,Karizma ZMR ABS,223.0,Motorcycle,Arunachal Pradesh,5.7,75108,82920,40480,2020,57,148,4,2,"White, Green",ABS,Automatic,Carburetor
Hero,Xtreme 160R,Xtreme 160R 4V,163.0,Motorcycle,Punjab,7.9,120463,134525,23206,2014,30,216,4,5,"Red, White, Blue, Green, Black",Standard,Multi-plate,Carburetor
Hero,Karizma ZMR,Karizma ZMR Pro,223.0,Motorcycle,Assam,6.6,248716,258399,47059,2016,47,117,2,5,"White, Blue, Green, Black, Red",Disc,Dry,Carburetor
Hero,Pleasure+,Pleasure+ 4V,110.9,Scooter,Himachal Pradesh,6.6,92987,104124,31777,2023,33,107,1,3,"Black, Green, Blue",ABS,Dry,Fuel Injection
Hero,Pleasure+,Pleasure+ Standard,110.9,Scooter,Telangana,7.4,170753,180742,20873,2015,46,176,2,2,"White, Green",ABS,Automatic,Fuel Injection
Hero,Pleasure+,Pleasure+ 4V,110.9,Scooter,Rajasthan,6.7,234675,253045,21916,2020,73,199,1,3,"Black, White, Green",Drum,Wet,Carburetor
Hero,Maestro Edge 110,Maestro Edge 110 Pro,110.9,Scooter,Rajasthan,7.8,140246,146649,40206,2021,43,170,1,3,"Green, Blue, Red",Disc,Multi-plate,Carburetor
Hero,Xpulse 200,Xpulse 200 Standard,199.6,Motorcycle,Manipur,7.3,68927,78011,23583,2018,65,155,4,5,"Blue, Green, White, Red, Black",Drum,Wet,Fuel Injection
Hero,Karizma ZMR,Karizma ZMR Standard,223.0,Motorcycle,Bihar,7.3,89136,101488,14506,2016,57,94,4,2,"White, Black",ABS,Multi-plate,Carburetor
Hero,Pleasure+,Pleasure+ ABS,110.9,Scooter,Punjab,9.4,166719,183465,11596,2018,60,154,2,4,"Red, Black, Green, Blue",ABS,Automatic,Fuel Injection
Hero,Destini 125,Destini 125 4V,124.6,Scooter,Meghalaya,5.3,198325,213908,31361,2019,69,230,2,4,"Green, White, Red, Blue",Drum,Multi-plate,Carburetor
Hero,Xtreme 160R,Xtreme 160R Standard,163.0,Motorcycle,Karnataka,8.5,80317,98429,43872,2020,46,150,2,3,"Red, Black, Green",ABS,Automatic,Fuel Injection
Hero,Destini 125,Destini 125 4V,124.6,Scooter,Andhra Pradesh,6.1,193996,204352,42964,2023,63,134,2,2,"Blue, Black",ABS,Automatic,Fuel Injection
Hero,Passion Pro,Passion Pro ABS,113.0,Motorcycle,Gujarat,7.5,173533,191619,42115,2019,64,154,1,5,"Blue, Red, Black, White, Green",Drum,Wet,Fuel Injection
Hero,Passion Pro,Passion Pro Pro,113.0,Motorcycle,Jharkhand,8.0,240372,260149,49390,2021,62,220,1,3,"White, Green, Blue",Standard,Wet,Fuel Injection
Hero,Glamour,Glamour Standard,124.7,Motorcycle,Andhra Pradesh,8.5,100936,116602,45780,2022,33,213,1,5,"White, Blue, Red, Black, Green",Disc,Multi-plate,Fuel Injection
Hero,Glamour,Glamour 4V,124.7,Motorcycle,Rajasthan,9.1,213658,222479,43800,2015,43,245,4,3,"Black, Red, Blue",Standard,Multi-plate,Carburetor
Hero,Destini 125,Destini 125 Standard,124.6,Scooter,Tamil Nadu,7.9,203588,215509,25876,2020,52,94,4,3,"Green, White, Blue",Drum,Multi-plate,Fuel Injection
Hero,Maestro Edge 110,Maestro Edge 110 Standard,110.9,Scooter,Andhra Pradesh,6.5,234592,249197,18170,2015,68,110,4,4,"Red, Blue, Green, Black",Disc,Wet,Fuel Injection
Hero,HF Deluxe,HF Deluxe Pro,97.2,Motorcycle,Odisha,5.6,97447,108568,30209,2018,46,225,2,5,"Red, White, Green, Black, Blue",Standard,Automatic,Carburetor
Hero,Destini 125,Destini 125 Pro,124.6,Scooter,Bihar,7.3,121842,130051,43499,2019,61,117,4,4,"Green, Black, White, Blue",Drum,Wet,Fuel Injection
Hero,Pleasure+,Pleasure+ Pro,110.9,Scooter,Uttarakhand,7.5,53414,60927,33045,2016,64,208,2,4,"Black, Red, White, Blue",ABS,Wet,Carburetor
Hero,Destini 125,Destini 125 Pro,124.6,Scooter,Punjab,6.8,160355,172942,13790,2022,49,142,2,4,"White, Blue, Green, Red",ABS,Wet,Fuel Injection
Hero,Destini 125,Destini 125 ABS,124.6,Scooter,Himachal Pradesh,5.2,62127,73804,39152,2023,41,128,4,2,"Black, Red",Drum,Wet,Carburetor
Hero,Karizma ZMR,Karizma ZMR ABS,223.0,Motorcycle,Andhra Pradesh,6.7,168000,181479,42802,2015,41,107,4,3,"Red, Green, Blue",Disc,Wet,Fuel Injection
Hero,Destini 125,Destini 125 Standard,124.6,Scooter,Telangana,7.3,214605,222040,19398,2022,61,240,1,3,"Red, Green, White",Disc,Wet,Fuel Injection
Hero,Karizma ZMR,Karizma ZMR ABS,223.0,Motorcycle,Andhra Pradesh,6.2,67577,80350,38909,2017,45,133,4,3,"White, Red, Blue",ABS,Wet,Carburetor
Hero,Pleasure+,Pleasure+ Standard,110.9,Scooter,Maharashtra,6.3,211074,228527,24697,2018,49,119,4,3,"White, Red, Blue",Disc,Multi-plate,Fuel Injection
Hero,Destini 125,Destini 125 4V,124.6,Scooter,Gujarat,6.5,82863,88975,38915,2018,80,133,2,2,"Black, Green",Standard,Multi-plate,Carburetor
Hero,Maestro Edge 110,Maestro Edge 110 4V,110.9,Scooter,Uttar Pradesh,7.0,189713,207692,15488,2021,44,210,2,3,"Red, Green, White",Drum,Multi-plate,Fuel Injection
Hero,HF Deluxe,HF Deluxe Pro,97.2,Motorcycle,Madhya Pradesh,7.0,95589,107345,44280,2018,56,92,1,2,"Black, White",Standard,Multi-plate,Carburetor
Hero,Maestro Edge 110,Maestro Edge 110 4V,110.9,Scooter,Rajasthan,9.2,93714,101841,30750,2018,63,143,1,3,"White, Blue, Red",Disc,Wet,Fuel Injection
Hero,Glamour,Glamour Pro,124.7,Motorcycle,Assam,5.2,221598,239871,22160,2018,48,182,2,4,"Black, Green, Blue, White",Disc,Automatic,Fuel Injection
Hero,HF Deluxe,HF Deluxe ABS,97.2,Motorcycle,Andhra Pradesh,7.9,190357,201715,30730,2016,38,205,1,3,"Black, Red, Green",ABS,Wet,Carburetor
Hero,Maestro Edge 110,Maestro Edge 110 4V,110.9,Scooter,Andhra Pradesh,8.9,158245,175719,34675,2016,66,191,4,5,"Green, Black, Blue, White, Red",Disc,Dry,Fuel Injection
Hero,Destini 125,Destini 125 ABS,124.6,Scooter,Chhattisgarh,5.3,177878,184198,28919,2022,74,152,4,3,"Red, Green, White",Disc,Wet,Fuel Injection
Hero,Destini 125,Destini 125 Standard,124.6,Scooter,Himachal Pradesh,9.6,146768,158652,30632,2024,35,148,1,5,"White, Blue, Green, Red, Black",ABS,Wet,Carburetor
Hero,Pleasure+,Pleasure+ Standard,110.9,Scooter,Jharkhand,9.9,174863,187787,17278,2022,37,179,2,2,"White, Black",Standard,Automatic,Carburetor
Hero,Glamour,Glamour Pro,124.7,Motorcycle,Meghalaya,9.5,145224,156776,11612,2018,65,247,1,3,"White, Blue, Black",Disc,Wet,Carburetor
Hero,HF Deluxe,HF Deluxe Pro,97.2,Motorcycle,Assam,8.3,129247,141023,39068,2018,31,223,2,2,"Green, Red",Standard,Automatic,Carburetor
Hero,Destini 125,Destini 125 Standard,124.6,Scooter,Nagaland,9.5,164140,176126,42227,2016,65,219,1,2,"Red, White",Drum,Multi-plate,Fuel Injection
Hero,Karizma ZMR,Karizma ZMR Standard,223.0,Motorcycle,Uttarakhand,6.0,241423,258645,34000,2017,51,148,2,2,"Blue, Red",Disc,Automatic,Fuel Injection
Hero,Xtreme 160R,Xtreme 160R Pro,163.0,Motorcycle,Punjab,6.2,173531,192135,30262,2020,62,120,4,2,"Blue, Green",Standard,Multi-plate,Fuel Injection
Hero,Pleasure+,Pleasure+ ABS,110.9,Scooter,Gujarat,6.1,71606,90292,45977,2021,34,193,4,5,"White, Green, Black, Blue, Red",Disc,Multi-plate,Fuel Injection
Hero,Pleasure+,Pleasure+ Standard,110.9,Scooter,West Bengal,6.8,109068,115783,42022,2013,34,124,4,4,"Black, White, Red, Blue",Standard,Dry,Fuel Injection
Hero,Pleasure+,Pleasure+ 4V,110.9,Scooter,Nagaland,7.8,104631,117823,24672,2020,36,223,4,4,"White, Blue, Red, Green",Drum,Dry,Carburetor
Hero,Pleasure+,Pleasure+ 4V,110.9,Scooter,Meghalaya,7.6,142930,149554,27408,2016,65,249,4,5,"Green, Red, Blue, Black, White",ABS,Dry,Fuel Injection
Hero,Pleasure+,Pleasure+ Standard,110.9,Scooter,Karnataka,9.3,220211,237919,47724,2020,79,126,1,5,"Blue, Black, Red, White, Green",Drum,Automatic,Fuel Injection
Hero,Destini 125,Destini 125 4V,124.6,Scooter,Bihar,5.7,124859,143879,48749,2017,46,128,1,2,"Red, Green",Drum,Dry,Carburetor
Hero,Maestro Edge 110,Maestro Edge 110 Standard,110.9,Scooter,Haryana,9.8,90355,103942,25353,2024,44,98,2,2,"Blue, Red",Standard,Multi-plate,Carburetor
Hero,Splendor Plus,Splendor Plus 4V,97.2,Motorcycle,Karnataka,9.9,232705,246281,11234,2017,62,102,2,5,"Green, White, Black, Blue, Red",Disc,Automatic,Fuel Injection
Hero,Xpulse 200,Xpulse 200 Standard,199.6,Motorcycle,Mizoram,8.1,197653,212005,39636,2023,30,109,4,5,"Red, Blue, Black, White, Green",Standard,Wet,Carburetor
Hero,Pleasure+,Pleasure+ Pro,110.9,Scooter,Gujarat,7.2,160782,180386,48871,2017,52,113,4,3,"White, Red, Black",Drum,Automatic,Carburetor
Hero,Maestro Edge 110,Maestro Edge 110 4V,110.9,Scooter,Maharashtra,6.3,165899,183832,11330,2022,36,236,4,3,"Blue, Black, Green",Drum,Automatic,Carburetor
Hero,Destini 125,Destini 125 Pro,124.6,Scooter,Nagaland,6.0,160737,170709,35357,2014,67,111,1,4,"Black, Red, White, Green",ABS,Wet,Fuel Injection
Hero,Destini 125,Destini 125 4V,124.6,Scooter,Rajasthan,8.2,106982,119265,39004,2016,43,185,4,3,"Blue, Green, Black",Standard,Wet,Fuel Injection
Hero,Splendor Plus,Splendor Plus ABS,97.2,Motorcycle,Uttar Pradesh,8.1,113363,124224,27885,2020,60,162,4,5,"Green, Black, Blue, Red, White",Disc,Automatic,Carburetor
Hero,Xpulse 200,Xpulse 200 Standard,199.6,Motorcycle,Karnataka,5.4,230704,240295,43909,2015,72,130,1,3,"Red, Green, Black",Drum,Automatic,Carburetor
Hero,HF Deluxe,HF Deluxe Standard,97.2,Motorcycle,Rajasthan,7.1,196894,203919,44903,2015,74,148,1,4,"Blue, Black, Green, White",Disc,Automatic,Carburetor
Hero,Pleasure+,Pleasure+ Standard,110.9,Scooter,Assam,7.1,102070,112985,47019,2017,55,167,4,2,"White, Red",Drum,Multi-plate,Carburetor
Hero,Splendor Plus,Splendor Plus ABS,97.2,Motorcycle,Arunachal Pradesh,5.2,88107,93806,19903,2017,67,121,1,3,"Red, White, Black",Disc,Wet,Fuel Injection
Hero,Splendor Plus,Splendor Plus Standard,97.2,Motorcycle,Madhya Pradesh,7.3,195608,210836,16556,2024,37,111,2,5,"White, Red, Blue, Black, Green",ABS,Automatic,Fuel Injection
Hero,Karizma ZMR,Karizma ZMR Pro,223.0,Motorcycle,Andhra Pradesh,9.9,90283,103516,30791,2019,78,159,1,5,"White, Green, Red, Blue, Black",ABS,Wet,Carburetor
Hero,Glamour,Glamour Standard,124.7,Motorcycle,Assam,6.7,133628,152361,34826,2018,37,197,1,4,"White, Green, Red, Black",Standard,Dry,Carburetor
Hero,Xpulse 200,Xpulse 200 Pro,199.6,Motorcycle,Telangana,5.5,61777,73167,19365,2021,61,193,4,4,"White, Red, Green, Blue",ABS,Multi-plate,Fuel Injection
Hero,Pleasure+,Pleasure+ Pro,110.9,Scooter,Gujarat,5.1,118713,132396,18718,2017,44,203,1,2,"Green, Black",Standard,Automatic,Fuel Injection
Hero,Xtreme 160R,Xtreme 160R ABS,163.0,Motorcycle,Sikkim,8.3,126759,145127,24380,2022,54,119,1,3,"White, Green, Black",ABS,Multi-plate,Carburetor
Hero,Maestro Edge 110,Maestro Edge 110 Pro,110.9,Scooter,Karnataka,6.1,243495,260085,17990,2019,49,233,4,2,"Blue, Green",Standard,Automatic,Carburetor
Hero,Xpulse 200,Xpulse 200 Standard,199.6,Motorcycle,Chhattisgarh,6.4,212290,225682,41758,2017,58,131,4,3,"Red, White, Blue",ABS,Automatic,Fuel Injection
Hero,Destini 125,Destini 125 ABS,124.6,Scooter,Uttar Pradesh,9.5,58701,68576,19764,2021,73,97,1,4,"Black, Red, Green, White",Standard,Dry,Fuel Injection
Hero,Pleasure+,Pleasure+ ABS,110.9,Scooter,Assam,9.6,245881,253972,19576,2018,35,209,2,3,"White, Black, Blue",Standard,Wet,Fuel Injection
Hero,Karizma ZMR,Karizma ZMR Standard,223.0,Motorcycle,Himachal Pradesh,6.1,126030,133642,27895,2021,47,198,2,2,"Red, Blue",ABS,Automatic,Carburetor
Hero,Glamour,Glamour Standard,124.7,Motorcycle,Telangana,6.1,231097,244773,29224,2022,55,136,1,5,"Black, Blue, Red, Green, White",Drum,Wet,Carburetor
Hero,HF Deluxe,HF Deluxe ABS,97.2,Motorcycle,Chhattisgarh,8.1,77779,87881,27030,2021,57,131,4,3,"Red, White, Blue",Standard,Dry,Fuel Injection
Hero,Destini 125,Destini 125 Standard,124.6,Scooter,Karnataka,8.8,186647,194844,14614,2017,75,186,2,2,"Blue, White",Drum,Multi-plate,Fuel Injection
Hero,Destini 125,Destini 125 Standard,124.6,Scooter,Mizoram,8.3,121621,140031,20211,2019,65,109,2,5,"Green, White, Black, Blue, Red",Disc,Dry,Fuel Injection
Hero,HF Deluxe,HF Deluxe ABS,97.2,Motorcycle,Jharkhand,9.7,194197,205354,37845,2022,58,99,4,4,"Red, White, Blue, Black",Drum,Automatic,Carburetor
Hero,Destini 125,Destini 125 ABS,124.6,Scooter,Tamil Nadu,6.4,182553,201113,39226,2021,67,168,4,5,"Blue, Green, White, Red, Black",Disc,Automatic,Fuel Injection
Hero,Splendor Plus,Splendor Plus ABS,97.2,Motorcycle,Haryana,5.2,165260,178566,12963,2022,33,135,2,2,"White, Green",Drum,Dry,Carburetor
Hero,Maestro Edge 110,Maestro Edge 110 ABS,110.9,Scooter,Haryana,7.4,155502,160836,16695,2015,31,176,2,4,"Red, Black, Green, Blue",Drum,Dry,Fuel Injection
Hero,Xpulse 200,Xpulse 200 4V,199.6,Motorcycle,Maharashtra,5.2,208341,217124,13319,2016,43,208,4,4,"Blue, Red, White, Green",ABS,Automatic,Carburetor
Hero,Maestro Edge 110,Maestro Edge 110 Standard,110.9,Scooter,Punjab,6.4,116270,133814,39608,2015,62,94,2,2,"White, Red",Drum,Multi-plate,Carburetor
Hero,Glamour,Glamour Pro,124.7,Motorcycle,Maharashtra,5.1,191471,201391,44551,2021,43,118,2,2,"Black, Red",ABS,Automatic,Fuel Injection
Hero,Pleasure+,Pleasure+ ABS,110.9,Scooter,Andhra Pradesh,6.4,135137,144424,12153,2015,71,184,4,2,"Red, White",Disc,Automatic,Fuel Injection
Hero,Xpulse 200,Xpulse 200 4V,199.6,Motorcycle,West Bengal,8.5,70754,84853,23133,2023,48,159,4,2,"White, Blue",Drum,Automatic,Carburetor
Hero,Maestro Edge 110,Maestro Edge 110 ABS,110.9,Scooter,Assam,7.8,133195,150756,49805,2020,56,219,1,4,"Green, White, Black, Red",Standard,Automatic,Carburetor
Hero,Passion Pro,Passion Pro 4V,113.0,Motorcycle,Assam,6.3,63273,70962,10169,2015,55,205,4,3,"Red, White, Blue",Drum,Automatic,Fuel Injection
Hero,Splendor Plus,Splendor Plus Standard,97.2,Motorcycle,Meghalaya,9.7,205293,212818,16392,2017,61,216,2,2,"Black, Green",Disc,Dry,Carburetor
Hero,Glamour,Glamour Pro,124.7,Motorcycle,Bihar,8.3,140209,154155,45515,2016,44,95,4,5,"Green, Red, White, Blue, Black",ABS,Multi-plate,Fuel Injection
Hero,HF Deluxe,HF Deluxe ABS,97.2,Motorcycle,Nagaland,9.1,162960,182076,34552,2021,57,216,4,3,"White, Black, Blue",Disc,Automatic,Carburetor
Hero,Pleasure+,Pleasure+ 4V,110.9,Scooter,Himachal Pradesh,5.8,143236,160243,28864,2021,37,124,2,3,"White, Red, Green",ABS,Automatic,Carburetor
Hero,Destini 125,Destini 125 ABS,124.6,Scooter,Uttarakhand,9.8,166989,172260,39621,2022,50,218,4,4,"White, Blue, Red, Green",ABS,Dry,Carburetor
Hero,Destini 125,Destini 125 Pro,124.6,Scooter,Kerala,8.5,203418,219809,26343,2022,60,132,1,3,"Green, White, Blue",Drum,Automatic,Carburetor
Hero,Maestro Edge 110,Maestro Edge 110 ABS,110.9,Scooter,Arunachal Pradesh,7.2,71463,80889,10323,2016,41,211,2,5,"Red, White, Green, Blue, Black",Drum,Multi-plate,Carburetor
Hero,Xpulse 200,Xpulse 200 4V,199.6,Motorcycle,Rajasthan,6.9,171137,190003,12176,2021,30,91,4,4,"White, Blue, Red, Black",Disc,Wet,Fuel Injection
Hero,Xtreme 160R,Xtreme 160R 4V,163.0,Motorcycle,Manipur,9.8,169813,175433,42356,2013,53,191,1,5,"Red, Blue, White, Black, Green",Standard,Automatic,Carburetor
Hero,Maestro Edge 110,Maestro Edge 110 4V,110.9,Scooter,West Bengal,9.9,81004,94106,13688,2023,43,118,1,3,"Black, Green, White",Standard,Wet,Carburetor
Hero,Pleasure+,Pleasure+ Pro,110.9,Scooter,Punjab,6.6,53159,64062,21444,2021,34,193,4,2,"Black, Green",Disc,Dry,Carburetor
Hero,Maestro Edge 110,Maestro Edge 110 Standard,110.9,Scooter,Maharashtra,7.8,130782,144326,25845,2014,80,180,2,4,"Green, White, Blue, Black",ABS,Multi-plate,Carburetor
Hero,Glamour,Glamour Standard,124.7,Motorcycle,Meghalaya,8.8,215379,224807,38050,2014,30,208,1,4,"Green, Black, Red, White",Standard,Dry,Carburetor
Hero,Glamour,Glamour 4V,124.7,Motorcycle,Tamil Nadu,8.5,228812,244526,40258,2015,45,240,4,2,"White, Red",Drum,Automatic,Carburetor
Hero,Destini 125,Destini 125 Standard,124.6,Scooter,Goa,5.0,153813,161058,25274,2017,63,218,4,4,"Blue, Black, White, Red",Standard,Automatic,Carburetor
Hero,Destini 125,Destini 125 Pro,124.6,Scooter,Jharkhand,6.5,88436,104099,10358,2016,67,183,4,3,"Blue, Green, Red",Disc,Automatic,Fuel Injection
Hero,Xpulse 200,Xpulse 200 4V,199.6,Motorcycle,Arunachal Pradesh,8.6,97010,108293,18876,2013,67,150,1,4,"Black, Red, White, Blue",ABS,Multi-plate,Carburetor
Hero,Splendor Plus,Splendor Plus ABS,97.2,Motorcycle,Meghalaya,10.0,135095,148023,16922,2015,60,102,2,4,"Black, Blue, Green, Red",Drum,Dry,Carburetor
Hero,Pleasure+,Pleasure+ 4V,110.9,Scooter,Arunachal Pradesh,5.4,58076,76693,49981,2014,51,199,4,5,"Black, Green, Red, White, Blue",Drum,Multi-plate,Fuel Injection
Hero,Xtreme 160R,Xtreme 160R 4V,163.0,Motorcycle,Uttar Pradesh,8.7,123270,142013,20503,2018,76,218,1,3,"Red, Green, Black",Disc,Wet,Fuel Injection
Hero,Maestro Edge 110,Maestro Edge 110 ABS,110.9,Scooter,Bihar,5.8,173135,192589,46251,2014,66,149,2,3,"Black, Green, White",Drum,Multi-plate,Carburetor
Hero,Xtreme 160R,Xtreme 160R ABS,163.0,Motorcycle,Nagaland,5.3,187603,201324,32985,2014,70,133,1,2,"Green, White",Standard,Dry,Carburetor
Hero,Destini 125,Destini 125 Standard,124.6,Scooter,Telangana,6.1,142943,152452,39564,2023,57,209,2,5,"Red, Green, White, Black, Blue",Standard,Automatic,Fuel Injection
Hero,Pleasure+,Pleasure+ Standard,110.9,Scooter,Karnataka,5.5,221304,236414,27559,2023,57,249,1,2,"White, Green",ABS,Dry,Fuel Injection
Hero,Destini 125,Destini 125 ABS,124.6,Scooter,Sikkim,9.8,226288,240754,37811,2017,79,236,2,5,"Black, White, Red, Green, Blue",Disc,Wet,Carburetor
Hero,HF Deluxe,HF Deluxe 4V,97.2,Motorcycle,Haryana,5.9,235093,254584,27257,2017,52,190,2,3,"Black, Red, Green",Drum,Multi-plate,Fuel Injection
Hero,Pleasure+,Pleasure+ 4V,110.9,Scooter,Tripura,8.5,219388,230898,36303,2016,65,164,1,5,"Green, White, Red, Blue, Black",Drum,Multi-plate,Carburetor
Hero,Karizma ZMR,Karizma ZMR Standard,223.0,Motorcycle,West Bengal,7.8,72367,87721,20344,2017,45,137,2,5,"Red, White, Green, Blue, Black",Disc,Dry,Carburetor
Hero,Passion Pro,Passion Pro Pro,113.0,Motorcycle,Rajasthan,7.6,156776,170937,46487,2017,76,144,1,5,"Red, Black, Blue, White, Green",Disc,Dry,Fuel Injection
Hero,Pleasure+,Pleasure+ Pro,110.9,Scooter,Nagaland,8.9,98187,116062,14258,2020,74,206,1,3,"Blue, Red, White",Disc,Dry,Fuel Injection
Hero,Destini 125,Destini 125 Pro,124.6,Scooter,Odisha,6.6,138706,146724,14621,2023,49,139,4,5,"Black, Red, Blue, White, Green",Standard,Dry,Fuel Injection
Hero,Maestro Edge 110,Maestro Edge 110 Pro,110.9,Scooter,Uttar Pradesh,7.1,209568,223291,46917,2022,60,94,2,5,"Green, Black, Blue, White, Red",Drum,Wet,Carburetor
Hero,Splendor Plus,Splendor Plus Pro,97.2,Motorcycle,Tripura,6.1,105792,117362,43852,2021,72,202,4,2,"Blue, Green",Standard,Dry,Carburetor
Hero,Pleasure+,Pleasure+ Pro,110.9,Scooter,Odisha,9.5,106025,118517,34990,2016,57,133,4,5,"Red, Green, Black, Blue, White",Standard,Wet,Fuel Injection
Hero,Maestro Edge 110,Maestro Edge 110 4V,110.9,Scooter,Nagaland,6.9,143613,163562,41293,2014,35,156,1,3,"Black, Blue, Green",Disc,Dry,Carburetor
Hero,Pleasure+,Pleasure+ 4V,110.9,Scooter,Arunachal Pradesh,7.2,75738,91402,16934,2022,30,205,4,4,"Green, Blue, Red, Black",Drum,Automatic,Carburetor
Hero,HF Deluxe,HF Deluxe 4V,97.2,Motorcycle,Gujarat,9.3,244764,257133,22034,2019,70,112,4,5,"White, Blue, Black, Green, Red",Standard,Wet,Carburetor
Hero,Pleasure+,Pleasure+ Pro,110.9,Scooter,Maharashtra,5.9,80115,91628,13364,2021,52,250,1,2,"Red, White",Disc,Wet,Fuel Injection
Hero,Maestro Edge 110,Maestro Edge 110 ABS,110.9,Scooter,Maharashtra,8.6,238222,252869,45644,2014,44,196,2,3,"Blue, White, Red",ABS,Wet,Fuel Injection
Hero,Passion Pro,Passion Pro ABS,113.0,Motorcycle,Telangana,7.8,119349,132079,35227,2017,58,158,2,5,"Black, White, Red, Blue, Green",Disc,Multi-plate,Carburetor
Hero,Destini 125,Destini 125 4V,124.6,Scooter,Goa,8.0,117571,125129,29405,2022,47,137,4,2,"White, Green",Disc,Multi-plate,Carburetor
Hero,Maestro Edge 110,Maestro Edge 110 4V,110.9,Scooter,Haryana,5.1,119260,124554,20227,2017,42,116,2,2,"White, Black",Standard,Automatic,Carburetor
