Sales ID,Company Name,Model Name,Sub-Model Name,Engine CC,Bike Category,Top Sales State,Performance Rating,Ex-Showroom Price,On-Road Price,Profit,Manufacturing Year,KMPL,Weight,Cylinder Variant,Available Colors in Numbers,What are the Colors,Bike Versions,Clutch Type,Fuel System,Sales Date,Sales Month,Sales Quarter,Performance Category,Cost Price,Unit_Sales,Total_Sales
YAM2022789516,Yamaha,R3,R3 Standard,321,Motorcycle,Mizoram,9.7,178157,187448,35063,2022,47,170,4,4,"White, Red, Black, Blue",Disc,Wet,Carburetor,2015-01-06,January,1,Good,152385,866,142089509
YAM2017983179,Yamaha,Fascino 125,Fascino 125 4V,125,Scooter,Manipur,7.6,94365,111086,45569,2017,50,187,4,3,"Black, Green, Red",ABS,Dry,Carburetor,2015-01-06,January,1,Good,65517,866,142089509
YAM2016207842,Yamaha,Fascino 125,Fascino 125 4V,125,Scooter,Odisha,8.6,222930,230886,42925,2016,58,219,4,2,"Black, Green",ABS,Automatic,Carburetor,2015-01-07,January,1,Excellent,187961,866,142089509
YAM2016228886,Yamaha,R15 V4,R15 V4 4V,155,Motorcycle,Tripura,9.9,70537,86245,15578,2016,55,103,1,4,"Green, White, Black, Red",ABS,Dry,Fuel Injection,2015-01-07,January,1,Excellent,70667,866,142089509
YAM2015186231,Yamaha,Ray ZR 125,Ray ZR 125 ABS,125,Scooter,Tamil Nadu,5.3,67407,75172,10391,2015,35,117,4,5,"White, Green, Red, Blue, Black",Standard,Wet,Carburetor,2015-01-07,January,1,Average,64781,866,142089509
YAM2015705725,Yamaha,Fascino 125,Fascino 125 Standard,125,Scooter,Goa,6.7,133951,143702,46288,2015,58,172,2,5,"Green, Red, Blue, White, Black",Standard,Automatic,Fuel Injection,2015-01-08,January,1,Excellent,97414,866,142089509
YAM2023662791,Yamaha,Fascino 125,Fascino 125 Standard,125,Scooter,Odisha,9.5,248379,265859,40025,2023,55,172,4,4,"White, Red, Black, Blue",Standard,Automatic,Carburetor,2015-01-08,January,1,Excellent,225834,866,142089509
YAM2018430252,Yamaha,R3,R3 Standard,321,Motorcycle,Chhattisgarh,9.7,140162,155449,36465,2018,67,236,2,2,"Red, Green",Disc,Wet,Fuel Injection,2015-01-08,January,1,Excellent,118984,866,142089509
YAM2015775369,Yamaha,FZ 25,FZ 25 ABS,249,Motorcycle,Chhattisgarh,7.5,183994,192208,37321,2015,70,221,2,3,"Blue, Green, White",Drum,Automatic,Carburetor,2015-01-08,January,1,Excellent,154887,866,142089509
YAM2016936188,Yamaha,FZS FI,FZS FI ABS,149,Motorcycle,Nagaland,7.3,146234,162447,10835,2016,76,180,2,3,"White, Blue, Black",Drum,Wet,Fuel Injection,2015-01-08,January,1,Excellent,151612,866,142089509
YAM2021295637,Yamaha,Fascino 125,Fascino 125 4V,125,Scooter,Maharashtra,6.3,219687,231155,16097,2021,70,103,4,4,"Black, White, Blue, Red",Disc,Wet,Carburetor,2015-01-08,January,1,Excellent,215058,866,142089509
YAM2017328769,Yamaha,FZ 25,FZ 25 4V,249,Motorcycle,Haryana,8.0,135873,141997,24898,2017,44,143,1,3,"White, Blue, Green",Disc,Automatic,Carburetor,2015-01-09,January,1,Good,117099,866,142089509
YAM2020234716,Yamaha,Fascino 125,Fascino 125 Pro,125,Scooter,Goa,7.4,59927,75645,35894,2020,31,249,4,4,"White, Green, Blue, Black",Standard,Automatic,Fuel Injection,2015-01-09,January,1,Average,39751,866,142089509
YAM2019913301,Yamaha,FZ FI,FZ FI Standard,149,Motorcycle,Bihar,7.3,90641,100497,40925,2019,73,137,2,4,"Red, Green, White, Black",Standard,Automatic,Fuel Injection,2015-01-09,January,1,Excellent,59572,866,142089509
YAM2022500964,Yamaha,Aerox 155,Aerox 155 Standard,155,Scooter,Jharkhand,6.6,140935,146879,26365,2022,46,207,1,3,"Red, Black, White",ABS,Automatic,Carburetor,2015-01-09,January,1,Good,120514,866,142089509
YAM2024174541,Yamaha,Aerox 155,Aerox 155 Standard,155,Scooter,Meghalaya,5.6,135829,150737,36735,2024,40,109,4,2,"Green, Red",Standard,Dry,Carburetor,2015-01-10,January,1,Good,114002,866,142089509
YAM2016582727,Yamaha,Ray ZR 125,Ray ZR 125 4V,125,Scooter,Gujarat,5.8,140698,149560,41150,2016,60,102,2,4,"Black, Red, Green, White",Standard,Wet,Fuel Injection,2015-01-10,January,1,Excellent,108410,866,142089509
YAM2014570093,Yamaha,FZ FI,FZ FI Standard,149,Motorcycle,Himachal Pradesh,8.7,235769,249653,44725,2014,76,117,2,3,"Black, Green, Red",Disc,Automatic,Fuel Injection,2015-01-11,January,1,Excellent,204928,866,142089509
YAM2023717154,Yamaha,FZ-X,FZ-X Standard,149,Motorcycle,Manipur,7.5,242091,258863,16600,2023,34,247,2,3,"Green, Black, Red",Disc,Wet,Fuel Injection,2015-01-11,January,1,Average,242263,866,142089509
YAM2016223185,Yamaha,R3,R3 4V,321,Motorcycle,Telangana,9.2,183696,191619,35855,2016,50,170,1,4,"White, Green, Red, Black",Disc,Wet,Carburetor,2015-01-11,January,1,Good,155764,866,142089509
YAM2017690626,Yamaha,Ray ZR 125,Ray ZR 125 Pro,125,Scooter,Uttarakhand,5.0,177646,183444,35147,2017,60,228,4,2,"White, Red",Disc,Multi-plate,Carburetor,2015-01-11,January,1,Excellent,148297,866,142089509
YAM2024769935,Yamaha,Fascino 125,Fascino 125 Pro,125,Scooter,Tripura,8.0,195103,209948,37285,2024,53,154,4,5,"Black, Blue, White, Red, Green",ABS,Automatic,Fuel Injection,2015-01-12,January,1,Excellent,172663,866,142089509
YAM2016734374,Yamaha,Ray ZR 125,Ray ZR 125 Standard,125,Scooter,Manipur,7.6,132288,138075,13075,2016,74,236,4,5,"Blue, Black, White, Green, Red",Standard,Dry,Fuel Injection,2015-01-12,January,1,Excellent,125000,866,142089509
YAM2024135276,Yamaha,MT-15,MT-15 Pro,155,Motorcycle,Mizoram,7.9,137942,154920,29977,2024,48,184,2,5,"Black, Green, Blue, Red, White",Disc,Multi-plate,Fuel Injection,2015-01-12,January,1,Good,124943,866,142089509
YAM2021738371,Yamaha,FZ-X,FZ-X 4V,149,Motorcycle,Bihar,7.1,129095,141761,44343,2021,71,187,1,5,"Green, Blue, Red, Black, White",Standard,Automatic,Carburetor,2015-01-12,January,1,Excellent,97418,866,142089509
YAM2020803426,Yamaha,Ray ZR 125,Ray ZR 125 ABS,125,Scooter,Karnataka,9.8,131262,137728,15642,2020,69,97,2,2,"Black, Green",ABS,Dry,Fuel Injection,2015-01-13,January,1,Excellent,122086,866,142089509
YAM2014839359,Yamaha,FZ 25,FZ 25 Standard,249,Motorcycle,Maharashtra,8.8,90669,107021,34393,2014,78,109,4,3,"White, Green, Black",Drum,Dry,Carburetor,2015-01-13,January,1,Excellent,72628,866,142089509
YAM2021712766,Yamaha,R15 V4,R15 V4 Standard,155,Motorcycle,Chhattisgarh,6.6,86037,95582,32031,2021,54,180,4,3,"Blue, Black, Green",Standard,Wet,Fuel Injection,2015-01-14,January,1,Excellent,63551,866,142089509
YAM2018250731,Yamaha,Fascino 125,Fascino 125 Standard,125,Scooter,Meghalaya,8.6,205633,211508,34883,2018,44,235,2,2,"Green, Red",ABS,Wet,Fuel Injection,2015-01-14,January,1,Good,176625,866,142089509
YAM2022803351,Yamaha,Fascino 125,Fascino 125 ABS,125,Scooter,Tamil Nadu,7.2,96268,111130,23286,2022,76,221,2,3,"Green, Blue, Red",Drum,Multi-plate,Carburetor,2015-01-14,January,1,Excellent,87844,866,142089509
YAM2023830914,Yamaha,Aerox 155,Aerox 155 ABS,155,Scooter,Nagaland,7.7,164488,172448,36545,2023,30,209,1,3,"White, Green, Blue",Standard,Wet,Carburetor,2015-01-15,January,1,Average,135903,866,142089509
YAM2016104288,Yamaha,FZ FI,FZ FI 4V,149,Motorcycle,West Bengal,9.8,93052,100589,23621,2016,44,175,1,2,"White, Green",Disc,Automatic,Fuel Injection,2015-01-15,January,1,Good,76968,866,142089509
YAM2019731857,Yamaha,FZ-X,FZ-X 4V,149,Motorcycle,Mizoram,8.7,124800,138163,26528,2019,49,220,1,2,"White, Blue",Disc,Dry,Fuel Injection,2015-01-15,January,1,Good,111635,866,142089509
YAM2018706530,Yamaha,R15 V4,R15 V4 Pro,155,Motorcycle,Sikkim,8.3,84511,91637,28746,2018,36,142,2,5,"White, Green, Red, Black, Blue",Standard,Wet,Fuel Injection,2015-01-15,January,1,Average,62891,866,142089509
YAM2017851072,Yamaha,FZS FI,FZS FI Pro,149,Motorcycle,Odisha,9.2,88706,98920,32741,2017,57,198,2,5,"Red, Black, Blue, Green, White",Standard,Multi-plate,Carburetor,2015-01-16,January,1,Excellent,66179,866,142089509
YAM2018631735,Yamaha,R3,R3 4V,321,Motorcycle,Arunachal Pradesh,5.8,125570,140446,22529,2018,50,101,4,5,"Red, Black, White, Green, Blue",ABS,Automatic,Carburetor,2015-01-18,January,1,Good,117917,866,142089509
YAM2017858678,Yamaha,FZ 25,FZ 25 4V,249,Motorcycle,Tripura,8.5,151295,167964,34661,2017,41,170,2,4,"Green, White, Red, Black",Disc,Wet,Fuel Injection,2015-01-18,January,1,Good,133303,866,142089509
YAM2015225799,Yamaha,Ray ZR 125,Ray ZR 125 Standard,125,Scooter,Madhya Pradesh,9.0,236285,243280,43717,2015,80,206,1,2,"Blue, White",Drum,Wet,Fuel Injection,2015-01-18,January,1,Excellent,199563,866,142089509
YAM2016840025,Yamaha,Ray ZR 125,Ray ZR 125 Pro,125,Scooter,Telangana,8.5,60674,70240,24336,2016,53,107,2,5,"Black, White, Red, Green, Blue",Standard,Automatic,Carburetor,2015-01-19,January,1,Excellent,45904,866,142089509
YAM2019600793,Yamaha,Ray ZR 125,Ray ZR 125 Standard,125,Scooter,Arunachal Pradesh,7.3,149396,159824,34711,2019,71,113,2,3,"White, Red, Black",ABS,Wet,Fuel Injection,2015-01-19,January,1,Excellent,125113,866,142089509
YAM2023151501,Yamaha,R15 V4,R15 V4 ABS,155,Motorcycle,Nagaland,6.9,214865,228773,32279,2023,48,144,4,2,"Blue, Black",Drum,Multi-plate,Carburetor,2015-01-19,January,1,Good,196494,866,142089509
YAM2021710676,Yamaha,Fascino 125,Fascino 125 ABS,125,Scooter,Uttarakhand,8.5,124436,141519,49352,2021,60,196,1,2,"Red, White",Standard,Dry,Fuel Injection,2015-01-19,January,1,Excellent,92167,866,142089509
YAM2014526852,Yamaha,Fascino 125,Fascino 125 ABS,125,Scooter,Odisha,8.5,229017,234063,36391,2014,51,205,2,3,"Black, White, Green",Standard,Automatic,Fuel Injection,2015-01-19,January,1,Excellent,197672,866,142089509
YAM2016526506,Yamaha,R15 V4,R15 V4 ABS,155,Motorcycle,Uttar Pradesh,8.1,198058,204875,37565,2016,73,247,1,2,"White, Black",Standard,Multi-plate,Fuel Injection,2015-01-19,January,1,Excellent,167310,866,142089509
YAM2020782098,Yamaha,Aerox 155,Aerox 155 Pro,155,Scooter,Rajasthan,9.5,239079,251896,40408,2020,44,150,4,4,"Red, Black, White, Blue",Drum,Multi-plate,Carburetor,2015-01-20,January,1,Good,211488,866,142089509
YAM2022435019,Yamaha,Aerox 155,Aerox 155 4V,155,Scooter,Himachal Pradesh,6.0,160824,168289,16779,2022,36,170,1,2,"Blue, Green",Drum,Wet,Fuel Injection,2015-01-20,January,1,Average,151510,866,142089509
YAM2022267296,Yamaha,Fascino 125,Fascino 125 Standard,125,Scooter,Andhra Pradesh,9.8,80868,95162,41927,2022,62,204,1,5,"Blue, Red, Green, Black, White",Drum,Dry,Carburetor,2015-01-20,January,1,Excellent,53235,866,142089509
YAM2018692065,Yamaha,Aerox 155,Aerox 155 4V,155,Scooter,Rajasthan,9.4,199673,214575,22191,2018,43,195,1,4,"White, Green, Blue, Red",Disc,Dry,Fuel Injection,2015-01-20,January,1,Good,192384,866,142089509
YAM2023338282,Yamaha,FZ FI,FZ FI Standard,149,Motorcycle,Telangana,9.7,117236,134796,39749,2023,51,211,1,4,"White, Green, Red, Black",Disc,Wet,Carburetor,2015-01-21,January,1,Excellent,95047,866,142089509
YAM2014329780,Yamaha,FZ-X,FZ-X Standard,149,Motorcycle,Jharkhand,8.8,204609,221550,20815,2014,31,97,2,2,"White, Blue",Standard,Automatic,Fuel Injection,2015-01-21,January,1,Average,200735,866,142089509
YAM2019342401,Yamaha,FZS FI,FZS FI Standard,149,Motorcycle,Arunachal Pradesh,7.6,193995,208570,22801,2019,46,206,4,3,"Red, Green, White",Drum,Dry,Fuel Injection,2015-01-22,January,1,Good,185769,866,142089509
YAM2015749961,Yamaha,MT-15,MT-15 Standard,155,Motorcycle,Goa,8.0,134862,143009,35166,2015,76,111,1,5,"Green, Black, White, Red, Blue",Standard,Multi-plate,Fuel Injection,2015-01-22,January,1,Excellent,107843,866,142089509
YAM2023790919,Yamaha,R3,R3 Pro,321,Motorcycle,Andhra Pradesh,8.6,125273,135168,30779,2023,64,230,4,3,"White, Red, Black",Drum,Automatic,Fuel Injection,2015-01-22,January,1,Excellent,104389,866,142089509
YAM2024856018,Yamaha,FZ FI,FZ FI Standard,149,Motorcycle,Gujarat,9.1,71885,84528,13098,2024,50,203,4,4,"White, Blue, Black, Red",ABS,Wet,Carburetor,2015-01-23,January,1,Good,71430,866,142089509
YAM2015236303,Yamaha,Fascino 125,Fascino 125 ABS,125,Scooter,Rajasthan,7.9,162381,169515,41214,2015,36,147,2,4,"Green, White, Black, Red",Disc,Wet,Carburetor,2015-01-23,January,1,Average,128301,866,142089509
YAM2015594390,Yamaha,R3,R3 Standard,321,Motorcycle,Madhya Pradesh,5.2,163259,176915,23618,2015,61,174,1,5,"Black, Green, Red, Blue, White",Drum,Automatic,Carburetor,2015-01-24,January,1,Excellent,153297,866,142089509
YAM2019280267,Yamaha,Fascino 125,Fascino 125 ABS,125,Scooter,Maharashtra,6.6,171810,183643,35055,2019,40,162,1,5,"White, Green, Blue, Black, Red",Standard,Automatic,Fuel Injection,2015-01-24,January,1,Good,148588,866,142089509
YAM2024330384,Yamaha,Ray ZR 125,Ray ZR 125 Standard,125,Scooter,Andhra Pradesh,5.6,140299,151646,29637,2024,39,235,4,4,"White, Green, Red, Blue",Standard,Automatic,Carburetor,2015-01-24,January,1,Average,122009,866,142089509
YAM2019767073,Yamaha,Ray ZR 125,Ray ZR 125 ABS,125,Scooter,Nagaland,5.6,196545,213975,38546,2019,74,159,2,2,"Black, Green",Disc,Multi-plate,Fuel Injection,2015-01-24,January,1,Excellent,175429,866,142089509
YAM2015700710,Yamaha,Fascino 125,Fascino 125 Standard,125,Scooter,West Bengal,8.9,81826,87385,36002,2015,37,230,2,4,"White, Black, Blue, Red",Standard,Wet,Carburetor,2015-01-24,January,1,Average,51383,866,142089509
YAM2021580951,Yamaha,FZS FI,FZS FI Pro,149,Motorcycle,Madhya Pradesh,7.5,74418,91339,34662,2021,42,151,4,5,"Green, Black, White, Blue, Red",Standard,Wet,Carburetor,2015-01-25,January,1,Good,56677,866,142089509
YAM2017833143,Yamaha,Ray ZR 125,Ray ZR 125 4V,125,Scooter,West Bengal,8.0,98520,114405,36348,2017,39,136,4,4,"Blue, Red, Black, White",Drum,Automatic,Fuel Injection,2015-01-25,January,1,Average,78057,866,142089509
YAM2017886989,Yamaha,MT-15,MT-15 ABS,155,Motorcycle,Gujarat,8.3,126507,137259,46769,2017,79,207,4,5,"Blue, Black, Green, Red, White",Standard,Dry,Fuel Injection,2015-01-25,January,1,Excellent,90490,866,142089509
YAM2016904273,Yamaha,FZ FI,FZ FI Standard,149,Motorcycle,Arunachal Pradesh,8.4,225539,236275,25125,2016,68,215,4,2,"Red, Green",ABS,Multi-plate,Fuel Injection,2015-01-25,January,1,Excellent,211150,866,142089509
YAM2019308940,Yamaha,FZ 25,FZ 25 Pro,249,Motorcycle,Assam,9.7,111706,127182,39916,2019,52,242,1,2,"Blue, White",Drum,Wet,Fuel Injection,2015-01-26,January,1,Excellent,87266,866,142089509
YAM2023456229,Yamaha,Ray ZR 125,Ray ZR 125 Pro,125,Scooter,Tripura,9.9,154998,169990,47579,2023,38,145,2,5,"Black, Blue, Green, White, Red",Standard,Dry,Carburetor,2015-01-26,January,1,Average,122411,866,142089509
YAM2021778623,Yamaha,FZ-X,FZ-X 4V,149,Motorcycle,Tripura,7.6,84892,99292,42419,2021,30,247,4,3,"Blue, Black, Green",ABS,Dry,Fuel Injection,2015-01-26,January,1,Average,56873,866,142089509
YAM2014995592,Yamaha,Fascino 125,Fascino 125 Standard,125,Scooter,Haryana,7.6,50805,56276,39882,2014,32,222,4,5,"Green, Black, Blue, Red, White",Standard,Wet,Carburetor,2015-01-26,January,1,Average,16394,866,142089509
YAM2017863361,Yamaha,R3,R3 4V,321,Motorcycle,Uttar Pradesh,6.3,101875,107756,26666,2017,63,224,4,3,"Black, White, Blue",ABS,Multi-plate,Fuel Injection,2015-01-27,January,1,Excellent,81090,866,142089509
YAM2022647716,Yamaha,Ray ZR 125,Ray ZR 125 Standard,125,Scooter,Kerala,8.0,190456,200980,21913,2022,59,221,1,4,"White, Blue, Black, Red",Standard,Wet,Carburetor,2015-01-27,January,1,Excellent,179067,866,142089509
YAM2022119646,Yamaha,Aerox 155,Aerox 155 Standard,155,Scooter,Nagaland,8.8,76711,94212,20856,2022,71,224,2,3,"White, Black, Green",Standard,Multi-plate,Fuel Injection,2015-01-28,January,1,Excellent,73356,866,142089509
YAM2016162474,Yamaha,Fascino 125,Fascino 125 Pro,125,Scooter,Chhattisgarh,6.5,150733,161244,13238,2016,66,90,1,5,"Green, White, Red, Black, Blue",Standard,Dry,Fuel Injection,2015-01-28,January,1,Excellent,148006,866,142089509
YAM2014888712,Yamaha,FZ-X,FZ-X ABS,149,Motorcycle,Arunachal Pradesh,6.6,160271,169357,14170,2014,62,128,1,2,"Green, Black",ABS,Dry,Carburetor,2015-01-28,January,1,Excellent,155187,866,142089509
YAM2020755224,Yamaha,Fascino 125,Fascino 125 4V,125,Scooter,Odisha,9.8,134856,154764,42330,2020,49,117,2,3,"Black, Blue, Red",Disc,Wet,Carburetor,2015-01-29,January,1,Good,112434,866,142089509
YAM2021418220,Yamaha,FZ FI,FZ FI Standard,149,Motorcycle,Arunachal Pradesh,5.9,197964,207658,38640,2021,57,226,1,3,"White, Black, Blue",Disc,Multi-plate,Fuel Injection,2015-01-29,January,1,Excellent,169018,866,142089509
YAM2020697822,Yamaha,FZ FI,FZ FI 4V,149,Motorcycle,Nagaland,6.2,97233,116185,16635,2020,70,209,4,5,"Black, Red, White, Blue, Green",Standard,Multi-plate,Fuel Injection,2015-01-29,January,1,Excellent,99550,866,142089509
YAM2015951009,Yamaha,Aerox 155,Aerox 155 4V,155,Scooter,Uttarakhand,5.2,52019,60923,10230,2015,71,187,2,2,"Red, Black",Drum,Wet,Fuel Injection,2015-01-30,January,1,Excellent,50693,866,142089509
YAM2020381179,Yamaha,Fascino 125,Fascino 125 4V,125,Scooter,Uttar Pradesh,5.9,158234,171983,48938,2020,59,195,1,3,"Green, White, Red",ABS,Wet,Fuel Injection,2015-01-30,January,1,Excellent,123045,866,142089509
YAM2022441571,Yamaha,Fascino 125,Fascino 125 4V,125,Scooter,Tripura,6.1,65437,74614,37162,2022,79,104,2,3,"Blue, White, Red",Drum,Dry,Fuel Injection,2015-01-30,January,1,Excellent,37452,866,142089509
YAM2014958333,Yamaha,R3,R3 Pro,321,Motorcycle,Maharashtra,5.0,187020,201036,38595,2014,80,240,1,3,"Black, Blue, Green",Standard,Dry,Fuel Injection,2015-01-31,January,1,Excellent,162441,866,142089509
YAM2021605464,Yamaha,MT-15,MT-15 ABS,155,Motorcycle,Himachal Pradesh,9.7,211120,219768,39226,2021,40,186,2,3,"Green, Blue, Red",Standard,Wet,Fuel Injection,2015-01-31,January,1,Good,180542,866,142089509
YAM2016117146,Yamaha,R3,R3 Pro,321,Motorcycle,Rajasthan,7.9,90728,108234,42780,2016,78,219,4,3,"White, Green, Blue",Drum,Dry,Carburetor,2015-01-31,January,1,Excellent,65454,866,142089509
YAM2018544754,Yamaha,Fascino 125,Fascino 125 Standard,125,Scooter,Manipur,5.2,69638,88173,20740,2018,52,149,1,5,"White, Blue, Black, Red, Green",Disc,Multi-plate,Fuel Injection,2015-01-31,January,1,Excellent,67433,866,142089509
YAM2022207005,Yamaha,Ray ZR 125,Ray ZR 125 4V,125,Scooter,Haryana,5.2,91052,107763,14552,2022,33,136,1,2,"Black, White",Disc,Multi-plate,Fuel Injection,2015-02-01,February,1,Average,93211,771,124383778
YAM2019186172,Yamaha,Aerox 155,Aerox 155 ABS,155,Scooter,Chhattisgarh,7.6,98336,117019,11769,2019,56,197,4,2,"Blue, Green",Standard,Multi-plate,Carburetor,2015-02-02,February,1,Excellent,105250,771,124383778
YAM2018695961,Yamaha,Aerox 155,Aerox 155 4V,155,Scooter,Uttar Pradesh,5.8,111236,130362,33952,2018,75,240,2,3,"Blue, White, Green",ABS,Dry,Carburetor,2015-02-02,February,1,Excellent,96410,771,124383778
YAM2019947443,Yamaha,Aerox 155,Aerox 155 4V,155,Scooter,Sikkim,5.3,221060,239222,11523,2019,45,157,1,5,"Blue, Green, White, Red, Black",Drum,Dry,Carburetor,2015-02-02,February,1,Good,227699,771,124383778
YAM2017843042,Yamaha,FZ FI,FZ FI ABS,149,Motorcycle,Tamil Nadu,9.8,222295,228969,28375,2017,47,222,4,4,"White, Red, Black, Blue",ABS,Wet,Carburetor,2015-02-02,February,1,Good,200594,771,124383778
YAM2016245781,Yamaha,Aerox 155,Aerox 155 4V,155,Scooter,Madhya Pradesh,9.2,160174,172048,12983,2016,62,222,1,3,"Black, Green, Blue",ABS,Multi-plate,Fuel Injection,2015-02-02,February,1,Excellent,159065,771,124383778
YAM2024268409,Yamaha,FZ FI,FZ FI 4V,149,Motorcycle,Tamil Nadu,9.0,163683,183665,45746,2024,42,233,1,4,"White, Blue, Green, Red",Standard,Wet,Fuel Injection,2015-02-03,February,1,Good,137919,771,124383778
YAM2020557524,Yamaha,Ray ZR 125,Ray ZR 125 Pro,125,Scooter,Tripura,8.2,238317,249229,37335,2020,45,114,1,5,"White, Black, Red, Blue, Green",Drum,Multi-plate,Carburetor,2015-02-03,February,1,Good,211894,771,124383778
YAM2016857875,Yamaha,Ray ZR 125,Ray ZR 125 Standard,125,Scooter,Meghalaya,9.1,105289,118121,27269,2016,33,134,1,5,"Green, Blue, Red, White, Black",Drum,Multi-plate,Fuel Injection,2015-02-04,February,1,Average,90852,771,124383778
YAM2016280837,Yamaha,Ray ZR 125,Ray ZR 125 Standard,125,Scooter,Mizoram,8.4,240141,245827,19847,2016,35,177,1,2,"Red, Green",ABS,Wet,Carburetor,2015-02-04,February,1,Average,225980,771,124383778
YAM2020247340,Yamaha,FZ 25,FZ 25 4V,249,Motorcycle,Maharashtra,9.0,66119,71411,47861,2020,36,247,2,3,"Red, Green, Black",Standard,Multi-plate,Carburetor,2015-02-04,February,1,Average,23550,771,124383778
YAM2017437065,Yamaha,Aerox 155,Aerox 155 4V,155,Scooter,Karnataka,8.0,112673,118339,39472,2017,45,198,4,5,"Black, Red, Blue, White, Green",Drum,Dry,Fuel Injection,2015-02-05,February,1,Good,78867,771,124383778
YAM2023786287,Yamaha,R15 V4,R15 V4 Pro,155,Motorcycle,Telangana,6.7,233501,239660,16053,2023,67,242,2,2,"White, Red",ABS,Multi-plate,Fuel Injection,2015-02-06,February,1,Excellent,223607,771,124383778
YAM2019795915,Yamaha,MT-15,MT-15 4V,155,Motorcycle,Telangana,9.5,175237,192378,28667,2019,61,241,4,5,"Red, Green, Blue, Black, White",Standard,Automatic,Carburetor,2015-02-06,February,1,Excellent,163711,771,124383778
YAM2020775277,Yamaha,R3,R3 4V,321,Motorcycle,Kerala,5.8,241871,254928,39551,2020,75,162,4,4,"White, Black, Green, Blue",Drum,Wet,Fuel Injection,2015-02-06,February,1,Excellent,215377,771,124383778
YAM2018633304,Yamaha,Fascino 125,Fascino 125 4V,125,Scooter,Kerala,7.1,179273,186695,12191,2018,48,248,4,4,"Blue, Green, Red, Black",ABS,Wet,Fuel Injection,2015-02-06,February,1,Good,174504,771,124383778
YAM2016942633,Yamaha,Fascino 125,Fascino 125 ABS,125,Scooter,Andhra Pradesh,9.3,156747,171500,29157,2016,53,244,1,5,"Black, Red, White, Blue, Green",Standard,Automatic,Fuel Injection,2015-02-06,February,1,Excellent,142343,771,124383778
